code,industry,seg_gain,pos_in_ind,w_start,w_end,ind_str
sz.002856,E50建筑装饰、装修和其他建筑业,-0.07809525728225708,0.44,2024-12-02,2024-12-30,0.7659593323660403
sz.002859,C39计算机、通信和其他电子设备制造业,-0.01724141836166382,0.5182250396196514,2025-02-06,2025-03-31,0.7052183862600268
sz.002860,C38电气机械和器材制造业,-0.02101236581802368,0.40993788819875776,2025-02-21,2025-03-28,0.5396953562537379
sz.002864,C27医药制造业,0.07328450679779053,0.5980392156862745,2025-07-14,2025-09-17,0.42852905329909063
sz.002865,C38电气机械和器材制造业,-0.022572219371795654,0.40062111801242234,2025-02-21,2025-03-28,0.5396953562537379
sz.002868,C27医药制造业,0.038637399673461914,0.4934640522875817,2025-07-14,2025-09-17,0.42852905329909063
sz.002870,C36汽车制造业,0.05277609825134277,0.5434782608695652,2025-02-06,2025-04-01,0.7477436599786422
sz.002881,C39计算机、通信和其他电子设备制造业,-0.020332753658294678,0.49128367670364503,2025-02-06,2025-03-31,0.7052183862600268
sz.002882,C38电气机械和器材制造业,0.009523868560791016,0.5403726708074534,2025-02-21,2025-03-28,0.5396953562537379
sz.002887,N77生态保护和环境治理业,0.02377617359161377,0.5692307692307692,2025-02-20,2025-03-28,0.5106555062798752
sz.002890,C35专用设备制造业,0.019157052040100098,0.5517241379310345,2025-02-14,2025-03-31,0.5625654252715209
sz.002905,R87广播、电视、电影和录音制作业,0.0324021577835083,0.4,2023-04-03,2023-05-16,0.7277957061171203
sz.002908,I65软件和信息技术服务业,-0.012154698371887207,0.4864864864864865,2025-02-06,2025-03-31,0.9931014231289645
sz.002912,I65软件和信息技术服务业,0.014361262321472168,0.5645645645645646,2025-02-06,2025-03-31,0.9931014231289645
sz.002917,C26化学原料和化学制品制造业,-0.06011563539505005,0.4121863799283154,2021-08-24,2021-09-28,0.5957962094531348
sz.002921,C34通用设备制造业,0.08519113063812256,0.5770925110132159,2025-02-06,2025-04-01,0.8469397535686931
sz.002927,C38电气机械和器材制造业,0.008456587791442871,0.5372670807453416,2025-02-21,2025-03-28,0.5396953562537379
sz.002935,C39计算机、通信和其他电子设备制造业,-0.01735222339630127,0.5166402535657686,2025-02-06,2025-03-31,0.7052183862600268
sz.002936,J66货币金融服务,0.015384674072265625,0.4222222222222222,2025-03-05,2025-03-27,0.28552858309265283
sz.002958,J66货币金融服务,0.016666650772094727,0.4666666666666667,2025-03-05,2025-03-27,0.28552858309265283
sz.002959,C38电气机械和器材制造业,0.012373924255371094,0.5527950310559007,2025-02-21,2025-03-28,0.5396953562537379
sz.002965,C36汽车制造业,0.04426229000091553,0.5108695652173914,2025-02-06,2025-04-01,0.7477436599786422
sz.002968,K70房地产业,-0.10380947589874268,0.5,2024-12-02,2024-12-25,0.5048503176744117
sz.002977,C39计算机、通信和其他电子设备制造业,-0.019374072551727295,0.49920760697305866,2025-02-06,2025-03-31,0.7052183862600268
sz.002980,C40仪器仪表制造业,0.04452979564666748,0.4691358024691358,2025-02-06,2025-04-01,0.7548368801039278
sz.002988,C32有色金属冶炼和压延加工业,0.010295629501342773,0.5697674418604651,2026-01-21,2026-02-04,0.7872501259525782
sz.002993,C39计算机、通信和其他电子设备制造业,-0.018921494483947754,0.5055467511885895,2025-02-06,2025-03-31,0.7052183862600268
sz.002995,L72商务服务业,-0.09757065773010254,0.4594594594594595,2024-12-02,2025-01-02,0.6945903241604925
sz.002996,C42废弃资源综合利用业,0.039999961853027344,0.47368421052631576,2025-02-07,2025-03-31,0.4724956887628511
sz.002997,C35专用设备制造业,0.01126408576965332,0.5229885057471264,2025-02-14,2025-03-31,0.5625654252715209
sz.002998,C28化学纤维制造业,0.0685805082321167,0.5833333333333334,2025-02-14,2025-04-01,0.5455351987022989
sz.003000,C13农副食品加工业,0.014418959617614746,0.5,2025-02-20,2025-03-28,0.3492297720560693
sz.003007,I65软件和信息技术服务业,-0.015337467193603516,0.46846846846846846,2025-02-06,2025-03-31,0.9931014231289645
sz.003017,C26化学原料和化学制品制造业,-0.0410580039024353,0.4659498207885305,2021-08-24,2021-09-28,0.5957962094531348
sz.003021,C38电气机械和器材制造业,-0.014102518558502197,0.4503105590062112,2025-02-21,2025-03-28,0.5396953562537379
sz.003023,C38电气机械和器材制造业,0.0055991411209106445,0.5217391304347826,2025-02-21,2025-03-28,0.5396953562537379
sz.003027,N77生态保护和环境治理业,0.016655564308166504,0.5384615384615384,2025-02-20,2025-03-28,0.5106555062798752
sz.003037,C30非金属矿物制品业,-0.0032415390014648438,0.4803921568627451,2025-02-20,2025-03-28,0.49004041596493786
sz.003042,C26化学原料和化学制品制造业,-0.04059332609176636,0.4731182795698925,2021-08-24,2021-09-28,0.5957962094531348
sz.003816,D44电力、热力生产和供应业,-0.013422846794128418,0.4659090909090909,2021-10-18,2021-11-04,0.42873887249768505
sz.300015,Q84卫生,0.019652366638183594,0.5263157894736842,2025-02-13,2025-03-28,0.585451836567523
sz.300016,C27医药制造业,0.03141927719116211,0.45751633986928103,2025-07-14,2025-09-17,0.42852905329909063
sz.300027,R87广播、电视、电影和录音制作业,0.08754205703735352,0.5,2023-04-03,2023-05-16,0.7277957061171203
sz.300037,C39计算机、通信和其他电子设备制造业,-0.021220147609710693,0.4849445324881141,2025-02-06,2025-03-31,0.7052183862600268
sz.300047,I65软件和信息技术服务业,-0.005278944969177246,0.5135135135135135,2025-02-06,2025-03-31,0.9931014231289645
sz.300057,C32有色金属冶炼和压延加工业,-0.02459019422531128,0.43023255813953487,2026-01-21,2026-02-04,0.7872501259525782
sz.300059,J67资本市场服务,-0.06943362951278687,0.42857142857142855,2024-11-28,2025-01-02,0.4754546275184952
sz.300066,C40仪器仪表制造业,0.034653425216674805,0.41975308641975306,2025-02-06,2025-04-01,0.7548368801039278
sz.300069,C38电气机械和器材制造业,0.013100504875183105,0.562111801242236,2025-02-21,2025-03-28,0.5396953562537379
sz.300070,N77生态保护和环境治理业,0.010438323020935059,0.47692307692307695,2025-02-20,2025-03-28,0.5106555062798752
sz.300077,C39计算机、通信和其他电子设备制造业,-0.005450725555419922,0.5942947702060222,2025-02-06,2025-03-31,0.7052183862600268
sz.300088,C39计算机、通信和其他电子设备制造业,-0.03744155168533325,0.40253565768621236,2025-02-06,2025-03-31,0.7052183862600268
sz.300095,C34通用设备制造业,0.07668232917785645,0.5198237885462555,2025-02-06,2025-04-01,0.8469397535686931
sz.300101,I65软件和信息技术服务业,-0.007675528526306152,0.4984984984984985,2025-02-06,2025-03-31,0.9931014231289645
sz.300102,C39计算机、通信和其他电子设备制造业,-0.027947604656219482,0.45166402535657685,2025-02-06,2025-03-31,0.7052183862600268
sz.300105,C38电气机械和器材制造业,-0.008450746536254883,0.4751552795031056,2025-02-21,2025-03-28,0.5396953562537379
sz.300121,C26化学原料和化学制品制造业,0.0017300844192504883,0.5734767025089605,2021-08-24,2021-09-28,0.5957962094531348
sz.300122,C27医药制造业,0.07185041904449463,0.5947712418300654,2025-07-14,2025-09-17,0.42852905329909063
sz.300132,C26化学原料和化学制品制造业,-0.01150977611541748,0.5376344086021505,2021-08-24,2021-09-28,0.5957962094531348
sz.300140,N77生态保护和环境治理业,0.003372669219970703,0.4307692307692308,2025-02-20,2025-03-28,0.5106555062798752
sz.300145,C34通用设备制造业,0.06868135929107666,0.4933920704845815,2025-02-06,2025-04-01,0.8469397535686931
sz.300154,C34通用设备制造业,0.06066536903381348,0.44052863436123346,2025-02-06,2025-04-01,0.8469397535686931
sz.300157,C34通用设备制造业,0.043624281883239746,0.4052863436123348,2025-02-06,2025-04-01,0.8469397535686931
sz.300165,C40仪器仪表制造业,0.053333401679992676,0.5679012345679012,2025-02-06,2025-04-01,0.7548368801039278
sz.300180,C29橡胶和塑料制品业,0.021244406700134277,0.5333333333333333,2025-02-07,2025-03-31,0.5489958398734673
sz.300183,C40仪器仪表制造业,0.04841494560241699,0.5061728395061729,2025-02-06,2025-04-01,0.7548368801039278
sz.300185,C33金属制品业,0.036734580993652344,0.6,2025-02-19,2025-03-31,0.5553757903526504
sz.300187,N77生态保护和环境治理业,0.027832984924316406,0.5846153846153846,2025-02-20,2025-03-28,0.5106555062798752
sz.300190,N77生态保护和环境治理业,0.0,0.4,2025-02-20,2025-03-28,0.5106555062798752
sz.300194,C27医药制造业,0.028953194618225098,0.4444444444444444,2025-07-14,2025-09-17,0.42852905329909063
sz.300196,C30非金属矿物制品业,0.015511035919189453,0.5490196078431373,2025-02-20,2025-03-28,0.49004041596493786
sz.300218,C29橡胶和塑料制品业,0.009913206100463867,0.475,2025-02-07,2025-03-31,0.5489958398734673
sz.300232,C39计算机、通信和其他电子设备制造业,-0.010928869247436523,0.5657686212361331,2025-02-06,2025-03-31,0.7052183862600268
sz.300243,C26化学原料和化学制品制造业,-0.053048789501190186,0.4336917562724014,2021-08-24,2021-09-28,0.5957962094531348
sz.300244,Q84卫生,0.04131150245666504,0.5789473684210527,2025-02-13,2025-03-28,0.585451836567523
sz.300246,C35专用设备制造业,-0.0028943419456481934,0.47126436781609193,2025-02-14,2025-03-31,0.5625654252715209
sz.300261,C26化学原料和化学制品制造业,0.0036231279373168945,0.5806451612903226,2021-08-24,2021-09-28,0.5957962094531348
sz.300263,C34通用设备制造业,0.0861581563949585,0.5814977973568282,2025-02-06,2025-04-01,0.8469397535686931
sz.300270,C39计算机、通信和其他电子设备制造业,-0.027741074562072754,0.4548335974643423,2025-02-06,2025-03-31,0.7052183862600268
sz.300278,C35专用设备制造业,-0.009772002696990967,0.42528735632183906,2025-02-14,2025-03-31,0.5625654252715209
sz.300281,C35专用设备制造业,0.006944417953491211,0.5114942528735632,2025-02-14,2025-03-31,0.5625654252715209
sz.300283,C38电气机械和器材制造业,-0.005076169967651367,0.4906832298136646,2025-02-21,2025-03-28,0.5396953562537379
sz.300293,C35专用设备制造业,0.007765293121337891,0.514367816091954,2025-02-14,2025-03-31,0.5625654252715209
sz.300306,C40仪器仪表制造业,0.02899754047393799,0.4074074074074074,2025-02-06,2025-04-01,0.7548368801039278
sz.300308,C39计算机、通信和其他电子设备制造业,-0.023366332054138184,0.46909667194928684,2025-02-06,2025-03-31,0.7052183862600268
sz.300311,I65软件和信息技术服务业,0.0,0.5345345345345346,2025-02-06,2025-03-31,0.9931014231289645
sz.300316,C35专用设备制造业,0.02139878273010254,0.5603448275862069,2025-02-14,2025-03-31,0.5625654252715209
sz.300317,C38电气机械和器材制造业,-0.005405426025390625,0.48757763975155277,2025-02-21,2025-03-28,0.5396953562537379
sz.300327,C39计算机、通信和其他电子设备制造业,-0.03169441223144531,0.42789223454833597,2025-02-06,2025-03-31,0.7052183862600268
sz.300331,C39计算机、通信和其他电子设备制造业,-0.011724412441253662,0.554675118858954,2025-02-06,2025-03-31,0.7052183862600268
sz.300334,C35专用设备制造业,0.006745457649230957,0.5086206896551724,2025-02-14,2025-03-31,0.5625654252715209
sz.300338,P83教育,-0.05979377031326294,0.46153846153846156,2024-12-02,2025-01-02,0.6338697017576052
sz.300340,C39计算机、通信和其他电子设备制造业,-0.009000062942504883,0.5784469096671949,2025-02-06,2025-03-31,0.7052183862600268
sz.300349,I65软件和信息技术服务业,0.007530093193054199,0.5525525525525525,2025-02-06,2025-03-31,0.9931014231289645
sz.300358,C35专用设备制造业,-0.004178285598754883,0.46839080459770116,2025-02-14,2025-03-31,0.5625654252715209
sz.300365,I65软件和信息技术服务业,0.01497507095336914,0.5675675675675675,2025-02-06,2025-03-31,0.9931014231289645
sz.300375,C29橡胶和塑料制品业,0.008015990257263184,0.425,2025-02-07,2025-03-31,0.5489958398734673
sz.300389,C39计算机、通信和其他电子设备制造业,-0.023193538188934326,0.4722662440570523,2025-02-06,2025-03-31,0.7052183862600268
sz.300393,C38电气机械和器材制造业,-0.01669454574584961,0.4409937888198758,2025-02-21,2025-03-28,0.5396953562537379
sz.300394,C39计算机、通信和其他电子设备制造业,-0.015932142734527588,0.5309033280507132,2025-02-06,2025-03-31,0.7052183862600268
sz.300400,C35专用设备制造业,-0.009461820125579834,0.43103448275862066,2025-02-14,2025-03-31,0.5625654252715209
sz.300422,N77生态保护和环境治理业,0.019002437591552734,0.5538461538461539,2025-02-20,2025-03-28,0.5106555062798752
sz.300432,C36汽车制造业,0.031062722206115723,0.45652173913043476,2025-02-06,2025-04-01,0.7477436599786422
sz.300441,C34通用设备制造业,0.08879029750823975,0.5991189427312775,2025-02-06,2025-04-01,0.8469397535686931
sz.300447,C38电气机械和器材制造业,0.022573471069335938,0.5962732919254659,2025-02-21,2025-03-28,0.5396953562537379
sz.300450,C35专用设备制造业,-0.011748135089874268,0.4109195402298851,2025-02-14,2025-03-31,0.5625654252715209
sz.300453,C35专用设备制造业,-0.006337165832519531,0.4482758620689655,2025-02-14,2025-03-31,0.5625654252715209
sz.300455,C39计算机、通信和其他电子设备制造业,-0.023898422718048096,0.4675118858954041,2025-02-06,2025-03-31,0.7052183862600268
sz.300456,C39计算机、通信和其他电子设备制造业,-0.03373360633850098,0.41679873217115687,2025-02-06,2025-03-31,0.7052183862600268
sz.300459,I64互联网和相关服务,0.0032051801681518555,0.6,2025-02-06,2025-03-26,0.9576364963911941
sz.300470,C34通用设备制造业,0.06296396255493164,0.44493392070484583,2025-02-06,2025-04-01,0.8469397535686931
sz.300479,I65软件和信息技术服务业,-0.006635069847106934,0.5015015015015015,2025-02-06,2025-03-31,0.9931014231289645
sz.300483,B07石油和天然气开采业,-0.06567597389221191,0.4,2026-03-02,2026-04-15,0.8492823456802152
sz.300492,P83教育,-0.05309027433395386,0.5384615384615384,2024-12-02,2025-01-02,0.6338697017576052
sz.300498,A03畜牧业,0.019843578338623047,0.4444444444444444,2025-03-13,2025-03-28,0.3179120206867183
sz.300500,M74专业技术服务业,-0.0164986252784729,0.5972222222222222,2025-02-19,2025-03-31,0.5275870907967182
sz.300501,C27医药制造业,0.02474343776702881,0.42483660130718953,2025-07-14,2025-09-17,0.42852905329909063
sz.300504,C39计算机、通信和其他电子设备制造业,-0.0300939679145813,0.43898573692551507,2025-02-06,2025-03-31,0.7052183862600268
sz.300510,C38电气机械和器材制造业,0.016548514366149902,0.5714285714285714,2025-02-21,2025-03-28,0.5396953562537379
sz.300512,C34通用设备制造业,0.07639837265014648,0.5154185022026432,2025-02-06,2025-04-01,0.8469397535686931
sz.300514,C40仪器仪表制造业,0.051573991775512695,0.5432098765432098,2025-02-06,2025-04-01,0.7548368801039278
sz.300515,C40仪器仪表制造业,0.06931960582733154,0.5925925925925926,2025-02-06,2025-04-01,0.7548368801039278
